country,Donated_amount,Recieved_amount
United States,1.16E+11,104524992
Japan,1.14E+11,2081102258
Germany,47218438821,60164
United Kingdom,23690539376,957343964
France,15456459635,237540854
Netherlands,8939647189,0
Sweden,6364045876,59757155
Norway,4416814418,368001981
Canada,7466338200,4068652966
Switzerland,2844087953,326783
Denmark,2952416405,166310586
Belgium,2144445270,184346233
Spain,2014695904,561711808
Italy,3835655974,2400826417
Finland,665953415,180695493
Austria,784068952,770267419
Monaco,941387,0
Liechtenstein,4370700,18393083
Iceland,172501,18060045
Portugal,68900866,175242606
Australia,2446616312,2572618261
New Zealand,56749885,225588310
Slovenia,150028,225435200
United Arab Emirates,67636986,300206472
Estonia,278942,251349503
Latvia,0,423495040
Luxembourg,111554022,555039832
Greece,32667185,519377906
Lithuania,0,514143270
Qatar,104519053,733783749
Ireland,295144458,934638729
Slovak Republic,395574,821195623
Cyprus,5599,968154947
Czech Republic,8930435,2141913341
Hungary,324552,2925327491
Saudi Arabia,1698410689,4877749103
Taiwan,83737498,3399554410
Romania,0,3329059861
Kuwait,1369078319,7771540076
Chile,564349,7334129130
South Africa,0,18655555070
Korea,1299047720,25294323453
Poland,403184,24517225188
Colombia,190795,25530536307
Brazil,1134440,36607258078
Thailand,25461,49041317440
India,0,1.34E+11